Car Name,Car Link,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Options,Engine (cc)
Micro Mx7 2011 Car,https://riyasewana.com/buy/micro-mx7-sale-bandaragama-7525155,"Rs. 2,395,000",Micro,Mx7,2011,-,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Mitsubishi Lancer 1995 Car,https://riyasewana.com/buy/mitsubishi-lancer-sale-negombo-7525154,"Rs. 1,150,000",Mitsubishi,Lancer,1995,215000,Manual,Petrol,"AIR CONDITION, POWER STEERING",1400
Honda Civic Ex 2018 Car,https://riyasewana.com/buy/honda-civic-ex-sale-bandaragama-7525149,"Rs. 11,650,000",Honda,Civic Ex,2018,69000,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1000
Toyota Axio WXB 2017 Car,https://riyasewana.com/buy/toyota-axio-wxb-sale-kegalle-7525141,Negotiable,Toyota,Axio WXB,2017,84500,Automatic,Hybrid,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1500
Suzuki Maruti 800 2010 Car,https://riyasewana.com/buy/suzuki-maruti-800-sale-kurunegala-7525136,"Rs. 1,000,000 (Ongoing Lease)",Suzuki,Maruti 800,2010,86000,Manual,Petrol,AIR CONDITION,800
Honda Grace EX 2015 Car,https://riyasewana.com/buy/honda-grace-ex-sale-pannipitiya-7525134,"Rs. 8,980,000",Honda,Grace EX,2015,150500,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Toyota Carina 2000 Car,https://riyasewana.com/buy/toyota-carina-sale-kuliyapitiya-7525127,Negotiable,Toyota,Carina,2000,-,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Micro Panda.full.options 2016 Car,https://riyasewana.com/buy/micro-panda-full-options-sale-kalutara-7525125,"Rs. 765,000",Micro,Panda.full.options,2016,25000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Toyota PREMIO NZ T 260 G SUPERIOR 2019 Car,https://riyasewana.com/buy/toyota-premio-nz-sale-gampaha-7525120,"Rs. 17,850,000",Toyota,PREMIO NZT 260 G SUPERIOR,2019,43500,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1490
Suzuki Wagon R FZ Premium 2018 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-gampaha-7525117,"Rs. 5,850,000",Suzuki,Wagon R FZ Premium,2018,75850,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",660
Micro Emgrand 2015 Car,https://riyasewana.com/buy/micro-emgrand-sale-kadawatha-7525114,"Rs. 4,100,000",Micro,Emgrand,2015,141000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1800
Micro Panda Cross 2013 Car,https://riyasewana.com/buy/micro-panda-cross-sale-kurunegala-7525113,"Rs. 2,250,000",Micro,Panda Cross,2013,80000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",1340
Toyota Yaris 2008 Car,https://riyasewana.com/buy/toyota-yaris-sale-badulla-7525112,"Rs. 5,250,000",Toyota,Yaris,2008,90108,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Micro Panda 16000KM 2018 Car,https://riyasewana.com/buy/micro-panda-16000km-sale-nittambuwa-7525107,"Rs. 2,895,000",Micro,Panda 16000KM,2018,16100,Manual,Petrol,-,1000
Toyota Vitz 2008 Car,https://riyasewana.com/buy/toyota-vitz-sale-dankotuwa-7525105,"Rs. 5,375,000",Toyota,Vitz,2008,130000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Nissan March K11 2003 Car,https://riyasewana.com/buy/nissan-march-k11-sale-gampaha-7525102,Negotiable,Nissan,March K11,2003,140000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Honda Fit GP 2 2014 Car,https://riyasewana.com/buy/honda-fit-gp-sale-beruwala-7525101,"Rs. 7,975,000",Honda,Fit GP 2,2014,12900,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Suzuki Estilo 2011 Car,https://riyasewana.com/buy/suzuki-estilo-sale-galle-7525099,"Rs. 3,150,000",Suzuki,Estilo,2011,57500,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",998
Suzuki Wagon R 2018 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-hatton-7525097,"Rs. 6,250,000",Suzuki,Wagon R,2018,84982,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",650
Honda Grace Ex Limited Reg 2018 Car,https://riyasewana.com/buy/honda-grace-ex-sale-ja-ela-7525094,"Rs. 11,200,000",Honda,Grace Ex Limited Reg,2018,133400,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Nissan N16 2002 Car,https://riyasewana.com/buy/nissan-n16-sale-kadawatha-7525092,"Rs. 3,150,000",Nissan,N16,2002,120000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Honda Civic ES3 RS 2004 Car,https://riyasewana.com/buy/honda-civic-es3-sale-kegalle-7525080,"Rs. 4,500,000",Honda,Civic ES3 RS,2004,206000,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1700
Nissan March AK12 2007 Car,https://riyasewana.com/buy/nissan-march-ak12-sale-matale-7525075,"Rs. 3,800,000",Nissan,March AK12,2007,82000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Toyota Prius 3rd Generation 2012 Car,https://riyasewana.com/buy/toyota-prius-3rd-sale-hambantota-7525068,Negotiable,Toyota,Prius 3rd Generation,2012,199000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1800
Suzuki Wagon R Stingray J Style 2017 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-pannala-7525063,"Rs. 5,325,000",Suzuki,Wagon R Stingray J Style,2017,85000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",650
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-colombo-7525062,"Rs. 7,090,000",Toyota,Aqua,2013,95000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Kia Carens 2001 Car,https://riyasewana.com/buy/kia-carens-sale-kandy-7525060,"Rs. 1,495,000",Kia,Carens,2001,157000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",1793
Toyota ALLION NZT260 2013 Car,https://riyasewana.com/buy/toyota-allion-nzt260-sale-jaffna-7525054,"Rs. 11,000,000",Toyota,ALLION NZT260,2013,181500,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Chery QQ 0.8 2006 Car,https://riyasewana.com/buy/chery-qq-0-8-sale-divulapitiya-7525049,"Rs. 1,025,000",Chery,QQ 0.8,2006,72000,Manual,Petrol,-,800
Suzuki ALTO 2015 Car,https://riyasewana.com/buy/suzuki-alto-sale-kurunegala-7525040,"Rs. 2,985,000",Suzuki,ALTO,2015,78000,Manual,Petrol,-,800
Suzuki Maruti 2004 Car,https://riyasewana.com/buy/suzuki-maruti-sale-ja-ela-7525035,Negotiable,Suzuki,Maruti,2004,890000,Manual,Petrol,AIR CONDITION,800
Toyota Prius 3rd Generation 2012 Car,https://riyasewana.com/buy/toyota-prius-3rd-sale-gampaha-7525033,"Rs. 8,100,000",Toyota,Prius 3rd Generation,2012,206000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1800
Micro Panda 2014 Car,https://riyasewana.com/buy/micro-panda-sale-negombo-7525032,"Rs. 1,985,000",Micro,Panda,2014,108000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",1000
Nissan FB13 1991 Car,https://riyasewana.com/buy/nissan-fb13-sale-kurunegala-7525031,Negotiable,Nissan,FB13,1991,156328,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Mazda Familia 1992 Car,https://riyasewana.com/buy/mazda-familia-sale-kuliyapitiya-7525030,"Rs. 1,390,000",Mazda,Familia,1992,200000,Manual,Petrol,POWER STEERING,1300
Mitsubishi Ck1 1998 Car,https://riyasewana.com/buy/mitsubishi-ck1-sale-hanwella-7525027,"Rs. 900,000 (Ongoing Lease)",Mitsubishi,Ck1,1998,124000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR",1300
Suzuki Maruti 2006 Car,https://riyasewana.com/buy/suzuki-maruti-sale-mawanella-7525023,"Rs. 550,000 (Ongoing Lease)",Suzuki,Maruti,2006,12345,Manual,Petrol,AIR CONDITION,800
Perodua Viva Elite 2011 Car,https://riyasewana.com/buy/perodua-viva-elite-sale-kotikawatta-7525022,"Rs. 4,050,000",Perodua,Viva Elite,2011,726930,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Honda Insight 2010 Car,https://riyasewana.com/buy/honda-insight-sale-kandy-7525021,"Rs. 5,600,000",Honda,Insight,2010,180000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1330
Toyota Axio WXB 2016 Car,https://riyasewana.com/buy/toyota-axio-wxb-sale-colombo-7525020,Negotiable,Toyota,Axio WXB,2016,115000,Automatic,Hybrid,-,1500
Perodua Axia 2015 Car,https://riyasewana.com/buy/perodua-axia-sale-dehiwala-mount-lavinia-7525018,"Rs. 4,995,000",Perodua,Axia,2015,107000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",1499
Toyota Corolla AE100 1994 Car,https://riyasewana.com/buy/toyota-corolla-ae100-sale-matara-7525017,"Rs. 2,190,000",Toyota,Corolla AE100,1994,224000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR",1330
