Car Name,Car Link,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Options,Engine (cc)
Toyota Corolla AE100 1991 Car,https://riyasewana.com/buy/toyota-corolla-ae100-sale-kalutara-7509119,"Rs. 2,050,000",Toyota,Corolla AE100,1991,240000,Manual,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1500
Toyota Corolla CE106 1997 Car,https://riyasewana.com/buy/toyota-corolla-ce106-sale-ampara-7509113,Negotiable,Toyota,Corolla CE106,1997,277000,Automatic,Diesel,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1970
Suzuki Maruti 2001 Car,https://riyasewana.com/buy/suzuki-maruti-sale-marawila-7509100,Negotiable,Suzuki,Maruti,2001,6500,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",900
Suzuki Maruti 1996 Car,https://riyasewana.com/buy/suzuki-maruti-sale-gampola-7509096,"Rs. 950,000",Suzuki,Maruti,1996,-,Manual,Petrol,-,800
Micro Panda 2013 Car,https://riyasewana.com/buy/micro-panda-sale-kaduwela-7509086,"Rs. 675,000",Micro,Panda,2013,93000,Manual,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1000
Mercedes-Benz C160 2018 Car,https://riyasewana.com/buy/mercedes-benz-c160-sale-homagama-7509082,"Rs. 21,500,000",Mercedes-Benz,C160,2018,35000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1600
Mitsubishi Lancer 1980 Car,https://riyasewana.com/buy/mitsubishi-lancer-sale-colombo-7509068,"Rs. 465,000",Mitsubishi,Lancer,1980,100000,Manual,Petrol,AIR CONDITION,1300
Suzuki Wagon R Stingray 2015 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-7509057,"Rs. 5,190,000",Suzuki,Wagon R Stingray,2015,93000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",650
Micro MX7 2013 Car,https://riyasewana.com/buy/micro-mx7-sale-gampaha-7509034,Negotiable,Micro,MX7,2013,129000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Suzuki Alto 2007 Car,https://riyasewana.com/buy/suzuki-alto-sale-padukka-7509032,"Rs. 2,140,000",Suzuki,Alto,2007,123456,Manual,Petrol,"AIR CONDITION, POWER STEERING",800
Suzuki Wagon R Stingray 2017 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-kuliyapitiya-7509029,"Rs. 6,550,000",Suzuki,Wagon R Stingray,2017,56000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",650
Suzuki Wagon R FZ 2014 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-matara-7508996,Negotiable,Suzuki,Wagon R FZ,2014,122000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",650
Suzuki Maruti 800 2005 Car,https://riyasewana.com/buy/suzuki-maruti-800-sale-ampara-7508994,Negotiable,Suzuki,Maruti 800,2005,47400,Manual,Petrol,AIR CONDITION,800
Mitsubishi Lancer CS3 2004 Car,https://riyasewana.com/buy/mitsubishi-lancer-cs3-sale-kuliyapitiya-7508979,Negotiable,Mitsubishi,Lancer CS3,2004,132412,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR",1600
Toyota Aqua Urban G Grade 2016 Car,https://riyasewana.com/buy/toyota-aqua-urban-sale-tangalle-7508969,"Rs. 9,225,000",Toyota,Aqua Urban G Grade,2016,123000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1496
Toyota Tank 2018 Car,https://riyasewana.com/buy/toyota-tank-sale-piliyandala-7508968,"Rs. 8,050,000",Toyota,Tank,2018,44000,Automatic,Petrol,-,1000
Zotye Z100 2017 Car,https://riyasewana.com/buy/zotye-z100-sale-kalutara-7508964,"Rs. 2,600,000",Zotye,Z100,2017,82000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Suzuki Maruti 2006 Car,https://riyasewana.com/buy/suzuki-maruti-sale-dompe-7508927,"Rs. 1,495,000",Suzuki,Maruti,2006,75100,Manual,Petrol,AIR CONDITION,800
Nissan FB14 1996 Car,https://riyasewana.com/buy/nissan-fb14-sale-kadugannawa-7508898,"Rs. 2,325,000",Nissan,FB14,1996,280000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Mitsubishi Lancer Gls 2011 Car,https://riyasewana.com/buy/mitsubishi-lancer-gls-sale-moratuwa-7508884,"Rs. 7,000,000",Mitsubishi,Lancer Gls,2011,180000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Toyota Corolla AE100 1991 Car,https://riyasewana.com/buy/toyota-corolla-ae100-sale-ragama-7508875,"Rs. 2,000,000",Toyota,Corolla AE100,1991,189000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Toyota Corona Premio 1998 Car,https://riyasewana.com/buy/toyota-corona-premio-sale-hambantota-7508874,"Rs. 3,375,000",Toyota,Corona Premio,1998,148000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1600
Nissan Sunny 1978 Car,https://riyasewana.com/buy/nissan-sunny-sale-minuwangoda-7508864,"Rs. 515,000",Nissan,Sunny,1978,-,Manual,Petrol,AIR CONDITION,1400
Toyota Vitz 2008 Car,https://riyasewana.com/buy/toyota-vitz-sale-kuliyapitiya-7508858,"Rs. 4,940,000",Toyota,Vitz,2008,145000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Micro Trend 2011 Car,https://riyasewana.com/buy/micro-trend-sale-mirigama-7508848,"Rs. 1,425,000",Micro,Trend,2011,83000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",1000
Hyundai Elantra GLS 2011 Car,https://riyasewana.com/buy/hyundai-elantra-gls-sale-wennappuwa-7508841,"Rs. 5,690,000",Hyundai,Elantra GLS,2011,-,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1600
Toyota Aqua G Limited 2013 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-maharagama-7508819,"Rs. 6,900,000",Toyota,Aqua G Limited,2013,100000,Automatic,Petrol,-,-
Mazda Familia 1981 Car,https://riyasewana.com/buy/mazda-familia-sale-moratuwa-7508803,"Rs. 675,000",Mazda,Familia,1981,-,Manual,Petrol,-,1300
Suzuki Maruti 2010 Car,https://riyasewana.com/buy/suzuki-maruti-sale-ratnapura-7508772,"Rs. 1,775,000",Suzuki,Maruti,2010,7500,Manual,Petrol,AIR CONDITION,800
Suzuki Alto 2015 Car,https://riyasewana.com/buy/suzuki-alto-sale-eheliyagoda-7508758,"Rs. 3,370,000",Suzuki,Alto,2015,21000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",800
Nissan FB15 Ex 2000 Car,https://riyasewana.com/buy/nissan-fb15-ex-sale-ratnapura-7508748,"Rs. 3,250,000 (Ongoing Lease)",Nissan,FB15 Ex,2000,125640,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1500
Austin A30 1955 Car,https://riyasewana.com/buy/austin-a30-sale-boralesgamuwa-7508745,"Rs. 690,000",Austin,A30,1955,975413,Manual,Petrol,-,880
Nissan FB15 Super Saloon VIP Model 2001 Car,https://riyasewana.com/buy/nissan-fb15-super-sale-ampara-7508742,Negotiable,Nissan,FB15 Super Saloon VIP Model,2001,113340,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1490
Morris Minor 1955 Car,https://riyasewana.com/buy/morris-minor-sale-colombo-7508734,Negotiable,Morris,Minor,1955,1236879,Manual,Petrol,-,880
Nissan B12 1988 Car,https://riyasewana.com/buy/nissan-b12-sale-gampaha-7508731,"Rs. 1,550,000",Nissan,B12,1988,-,Manual,Petrol,-,1770
Toyota Avanza 2008 Car,https://riyasewana.com/buy/toyota-avanza-sale-pannipitiya-7508730,"Rs. 4,950,000",Toyota,Avanza,2008,153000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Suzuki Alto 2014 Car,https://riyasewana.com/buy/suzuki-alto-sale-pannala-7508728,"Rs. 2,760,000",Suzuki,Alto,2014,110000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",800
Suzuki Maruti 2006 Car,https://riyasewana.com/buy/suzuki-maruti-sale-kurunegala-7508708,Negotiable,Suzuki,Maruti,2006,79856,Manual,Petrol,AIR CONDITION,800
Nissan FB14 Super Saloon 1998 Car,https://riyasewana.com/buy/nissan-fb14-super-sale-pannipitiya-7508707,"Rs. 2,200,000",Nissan,FB14 Super Saloon,1998,190000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Nissan N16 2004 Car,https://riyasewana.com/buy/nissan-n16-sale-matara-7508690,"Rs. 3,325,000",Nissan,N16,2004,146000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1600
Suzuki Wagon R 2017 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-7508655,Negotiable,Suzuki,Wagon R,2017,89000,Automatic,Hybrid,-,660
Suzuki Zen Estilo 2010 Car,https://riyasewana.com/buy/suzuki-zen-estilo-sale-nugegoda-7508593,"Rs. 2,995,000",Suzuki,Zen Estilo,2010,82000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Suzuki Estilo 2011 Car,https://riyasewana.com/buy/suzuki-estilo-sale-gampaha-7508588,Negotiable,Suzuki,Estilo,2011,84404,Manual,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1000
Austin Mini Cooper 1995 Car,https://riyasewana.com/buy/austin-mini-cooper-sale-anuradapura-7508585,"Rs. 2,800,000",Austin,Mini Cooper,1995,30150,Automatic,Petrol,"AIR CONDITION, POWER STEERING",1330
Volkswagen 1300 1973 Car,https://riyasewana.com/buy/volkswagen-1300-sale-nittambuwa-7508575,"Rs. 1,750,000",Volkswagen,1300,1973,258007,Manual,Petrol,-,1300
Toyota DX Wagon 1987 Car,https://riyasewana.com/buy/toyota-dx-wagon-sale-ratnapura-7508567,Negotiable,Toyota,DX Wagon,1987,200000,Manual,Petrol,AIR CONDITION,1300
Toyota Allion 2010 Car,https://riyasewana.com/buy/toyota-allion-sale-maharagama-7508561,"Rs. 8,660,000",Toyota,Allion,2010,179000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Volkswagen Beetle 1959 Car,https://riyasewana.com/buy/volkswagen-beetle-sale-galle-7508560,"Rs. 550,000",Volkswagen,Beetle,1959,-,Manual,Petrol,-,1192
Micro Mx7 Superb Condition 2011 Car,https://riyasewana.com/buy/micro-mx7-superb-sale-chilaw-7508548,"Rs. 2,500,000",Micro,Mx7 Superb Condition,2011,114000,Manual,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1500
Daihatsu Mira 2008 Car,https://riyasewana.com/buy/daihatsu-mira-sale-malabe-7508543,"Rs. 3,380,000",Daihatsu,Mira,2008,170000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",650
Nissan Sunny SB13 1991 Car,https://riyasewana.com/buy/nissan-sunny-sb13-sale-polonnaruwa-7508514,"Rs. 1,300,000",Nissan,Sunny SB13,1991,266000,Manual,Diesel,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1680
Nissan March 1990 Car,https://riyasewana.com/buy/nissan-march-sale-weligama-7508499,"Rs. 1,150,000",Nissan,March,1990,-,Manual,Petrol,AIR CONDITION,1000
Toyota Corolla 121 X GRADE 2002 Car,https://riyasewana.com/buy/toyota-corolla-121-sale-kandy-7508496,"Rs. 4,995,000",Toyota,Corolla 121 X GRADE,2002,134000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Toyota Corolla 110 1998 Car,https://riyasewana.com/buy/toyota-corolla-110-sale-boralesgamuwa-7508485,"Rs. 3,950,000",Toyota,Corolla 110,1998,104000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Nissan March Ak12 2005 Car,https://riyasewana.com/buy/nissan-march-ak12-sale-ambalangoda-7508407,"Rs. 3,050,000",Nissan,March Ak12,2005,140000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Mitsubishi Lancer Box 1981 Car,https://riyasewana.com/buy/mitsubishi-lancer-box-sale-wennappuwa-7508386,"Rs. 975,000",Mitsubishi,Lancer Box,1981,200000,Manual,Petrol,AIR CONDITION,1400
Mercedes-Benz W211 E240 2003 Car,https://riyasewana.com/buy/mercedes-benz-w211-e240-sale-kalutara-7508376,"Rs. 7,000,000",Mercedes-Benz,W211 E240,2003,123700,Automatic,Petrol,"AIR CONDITION, POWER MIRROR, POWER WINDOW",2600
Proton Wira 2004 Car,https://riyasewana.com/buy/proton-wira-sale-bandaragama-7508375,"Rs. 1,360,000",Proton,Wira,2004,160000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Nissan N17 2002 Car,https://riyasewana.com/buy/nissan-n17-sale-gampaha-7508374,"Rs. 675,000 (Ongoing Lease)",Nissan,N17,2002,130000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",-
Suzuki Alto 2001 Car,https://riyasewana.com/buy/suzuki-alto-sale-galle-7508368,"Rs. 2,485,000",Suzuki,Alto,2001,135000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",650
Suzuki Wagon R Stingray J Style 2014 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-7508359,"Rs. 5,350,000 (Ongoing Lease)",Suzuki,Wagon r Stingray J Style,2014,105000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",650
Perodua Viva Elite 2011 Car,https://riyasewana.com/buy/perodua-viva-elite-sale-gampaha-7508350,"Rs. 595,000 (Ongoing Lease)",Perodua,Viva Elite,2011,140000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",-
Toyota Starlet Np90 1997 Car,https://riyasewana.com/buy/toyota-starlet-np90-sale-minuwangoda-7508341,Negotiable,Toyota,Starlet Np90,1997,160000,Automatic,Diesel,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Toyota Carina AT170 1988 Car,https://riyasewana.com/buy/toyota-carina-at170-sale-matale-7508335,"Rs. 1,250,000 (Ongoing Lease)",Toyota,Carina AT170,1988,1,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR",1500
Toyota Aqua G Grade 2013 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-kalutara-7508331,"Rs. 7,100,000",Toyota,Aqua G Grade,2013,121000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Mercedes-Benz S350 Black 2008 Car,https://riyasewana.com/buy/mercedes-benz-s350-black-sale-battaramulla-7508292,"Rs. 15,990,000",Mercedes-Benz,S350 Black,2008,65000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",3490
Toyota Corolla DX 1987 Car,https://riyasewana.com/buy/toyota-corolla-dx-sale-kandy-7508273,"Rs. 1,200,000",Toyota,Corolla DX,1987,80000,Manual,Petrol,AIR CONDITION,1290
Toyota PRIUS 2016 Car,https://riyasewana.com/buy/toyota-prius-sale-ambalangoda-7508186,"Rs. 13,850,000",Toyota,PRIUS,2016,76000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",-
Nissan B15 2001 Car,https://riyasewana.com/buy/nissan-b15-sale-matale-7508178,"Rs. 2,750,000",Nissan,B15,2001,190000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Nissan FB13 1990 Car,https://riyasewana.com/buy/nissan-fb13-sale-ratnapura-7508167,"Rs. 1,595,000",Nissan,FB13,1990,211143,Manual,Petrol,"AIR CONDITION, POWER STEERING",1290
Nissan B11 1985 Car,https://riyasewana.com/buy/nissan-b11-sale-divulapitiya-7508166,"Rs. 735,000",Nissan,B11,1985,175632,Manual,Petrol,"AIR CONDITION, POWER STEERING",1500
Toyota COROLLA 121 2006 Car,https://riyasewana.com/buy/toyota-corolla-121-sale-nugegoda-7508161,"Rs. 44,000,000",Toyota,COROLLA 121,2006,105000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Toyota Aqua S Limited 2016 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-wennappuwa-7508153,"Rs. 6,975,000",Toyota,Aqua S Limited,2016,159000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Suzuki Alto 2015 Car,https://riyasewana.com/buy/suzuki-alto-sale-matara-7508141,"Rs. 3,000,000 (Ongoing Lease)",Suzuki,Alto,2015,51000,Manual,Petrol,"AIR CONDITION, POWER MIRROR",800
Nissan FB15 2002 Car,https://riyasewana.com/buy/nissan-fb15-sale-ambalangoda-7508118,"Rs. 4,100,000",Nissan,FB15,2002,-,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Suzuki Alto 2015 Car,https://riyasewana.com/buy/suzuki-alto-sale-ampara-7508075,"Rs. 2,890,000",Suzuki,Alto,2015,140000,Manual,Petrol,-,800
Datsun Redi-GO 2016 Car,https://riyasewana.com/buy/datsun-redi-go-sale-galle-7508073,"Rs. 2,625,000",Datsun,Redi-GO,2016,75400,Manual,Petrol,-,800
Nissan March K10 Sports 1988 Car,https://riyasewana.com/buy/nissan-march-k10-sale-wennappuwa-7508071,"Rs. 865,000",Nissan,March K10 Sports,1988,5555555,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Suzuki Maruti 2012 Car,https://riyasewana.com/buy/suzuki-maruti-sale-dankotuwa-7508060,"Rs. 1,750,000",Suzuki,Maruti,2012,90000,Manual,Petrol,AIR CONDITION,800
Toyota Carina 212 1997 Car,https://riyasewana.com/buy/toyota-carina-212-sale-ja-ela-7508059,"Rs. 3,575,000",Toyota,Carina 212,1997,190000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Renault Kwid 2016 Car,https://riyasewana.com/buy/renault-kwid-sale-maharagama-7508054,"Rs. 2,850,000",Renault,Kwid,2016,73000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",800
Toyota Premio 260 2013 Car,https://riyasewana.com/buy/toyota-premio-260-sale-kurunegala-7508051,"Rs. 11,100,000",Toyota,Premio 260,2013,100000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Nissan FB15 EX Saloon 2000 Car,https://riyasewana.com/buy/nissan-fb15-ex-sale-colombo-7508037,"Rs. 3,275,000",Nissan,FB15 EX Saloon,2000,183000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",-
Zotye Z100 2018 Car,https://riyasewana.com/buy/zotye-z100-sale-kilinochchi-7508017,"Rs. 2,325,000",Zotye,Z100,2018,72600,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Suzuki ALTO 2007 Car,https://riyasewana.com/buy/suzuki-alto-sale-dambulla-7508016,"Rs. 2,050,000",Suzuki,ALTO,2007,110000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",800
Bajaj Qute 2020 Car,https://riyasewana.com/buy/bajaj-qute-sale-warakapola-7508009,"Rs. 1,250,000",Bajaj,Qute,2020,65000,Manual,Petrol,-,216
Datsun Redi-GO 2017 Car,https://riyasewana.com/buy/datsun-redi-go-sale-dompe-7508004,"Rs. 2,590,000",Datsun,Redi-GO,2017,73000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",799
Toyota Carina 1996 Car,https://riyasewana.com/buy/toyota-carina-sale-warakapola-7508002,"Rs. 2,900,000",Toyota,Carina,1996,187000,Automatic,Diesel,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1970
Toyota CE110 1996 Car,https://riyasewana.com/buy/toyota-ce110-sale-warakapola-7507994,"Rs. 2,375,000",Toyota,CE110,1996,165000,Automatic,Diesel,"AIR CONDITION, POWER STEERING",1970
Nissan CEFIRO 1998 Car,https://riyasewana.com/buy/nissan-cefiro-sale-anuradapura-7507985,"Rs. 2,250,000",Nissan,CEFIRO,1998,1800000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",-
Nissan Qu14 1999 Car,https://riyasewana.com/buy/nissan-qu14-sale-kandy-7507968,"Rs. 2,675,000",Nissan,Qu14,1999,95000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1700
Honda N WGN 2016 Car,https://riyasewana.com/buy/honda-n-wgn-sale-kiribathgoda-7507958,"Rs. 5,900,000",Honda,N WGN,2016,6500,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",660
Toyota Axio WXB 2018 Car,https://riyasewana.com/buy/toyota-axio-wxb-sale-colombo-7507955,Negotiable,Toyota,Axio WXB,2018,99000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Suzuki ALTO S Grade 2016 Car,https://riyasewana.com/buy/suzuki-alto-s-sale-colombo-7507944,"Rs. 4,975,000",Suzuki,ALTO S Grade,2016,90000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",650
Suzuki Alto 2015 Car,https://riyasewana.com/buy/suzuki-alto-sale-ampara-7507942,"Rs. 3,300,000 (Ongoing Lease)",Suzuki,Alto,2015,115000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",800
Honda Fit Gp5 Safety 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kuliyapitiya-7507915,"Rs. 6,550,000",Honda,Fit Gp5 Safety,2013,138000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-colombo-7507896,"Rs. 7,350,000",Toyota,Aqua,2014,75000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1490
Suzuki Alto Japan 2008 Car,https://riyasewana.com/buy/suzuki-alto-japan-sale-kurunegala-7507894,"Rs. 3,900,000",Suzuki,Alto Japan,2008,116000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",650
Toyota Carina At192 1996 Car,https://riyasewana.com/buy/toyota-carina-at192-sale-embilipitiya-7507889,"Rs. 2,350,000",Toyota,Carina At192,1996,1830000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Honda Civic Es8 2002 Car,https://riyasewana.com/buy/honda-civic-es8-sale-kandy-7507887,"Rs. 4,700,000",Honda,Civic Es8,2002,178000,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1600
Honda Grand Civic Ef2 1991 Car,https://riyasewana.com/buy/honda-grand-civic-sale-puttalam-7507869,"Rs. 775,000 (Ongoing Lease)",Honda,Grand Civic Ef2,1991,-,Manual,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1500
Renault KWID SPORTS RXT 2017 Car,https://riyasewana.com/buy/renault-kwid-sports-sale-welisara-7507854,"Rs. 895,000",Renault,KWID SPORTS RXT,2017,58000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",800
Toyota Vitz 2007 Car,https://riyasewana.com/buy/toyota-vitz-sale-kandy-7507846,"Rs. 4,595,000",Toyota,Vitz,2007,151000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Toyota Passo 2004 Car,https://riyasewana.com/buy/toyota-passo-sale-kuliyapitiya-7507844,Negotiable,Toyota,Passo,2004,172900,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Honda Insight 2012 Car,https://riyasewana.com/buy/honda-insight-sale-marawila-7507830,"Rs. 8,950,000",Honda,Insight,2012,145000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1320
Toyota Vitz 2018 Car,https://riyasewana.com/buy/toyota-vitz-sale-ragama-7507805,"Rs. 8,725,000",Toyota,Vitz,2018,21300,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",990
Toyota Corona AT 170 1990 Car,https://riyasewana.com/buy/toyota-corona-at-sale-maharagama-7507804,"Rs. 1,650,000",Toyota,Corona AT 170,1990,314000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR",1400
Toyota Corsa 1996 Car,https://riyasewana.com/buy/toyota-corsa-sale-kalutara-7507799,"Rs. 2,475,000",Toyota,Corsa,1996,160000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Toyota Starlet 1997 Car,https://riyasewana.com/buy/toyota-starlet-sale-kandy-7507798,"Rs. 2,650,000",Toyota,Starlet,1997,190000,Automatic,Diesel,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Toyota Axio 2015 Car,https://riyasewana.com/buy/toyota-axio-sale-malabe-7507797,Negotiable,Toyota,Axio,2015,95000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Nissan FB15 2001 Car,https://riyasewana.com/buy/nissan-fb15-sale-kalawana-7507765,"Rs. 3,450,000",Nissan,FB15,2001,125000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Mazda AXELA 2009 Car,https://riyasewana.com/buy/mazda-axela-sale-wattala-7507758,"Rs. 6,350,000",Mazda,AXELA,2009,185000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Kia Mentor 2000 Car,https://riyasewana.com/buy/kia-mentor-sale-pannipitiya-7507753,"Rs. 2,200,000",Kia,Mentor,2000,236311,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",1600
Mercedes-Benz W202 C220 1994 Car,https://riyasewana.com/buy/mercedes-benz-w202-c220-sale-negombo-7507750,"Rs. 3,900,000",Mercedes-Benz,W202 C220,1994,12345,Manual,Diesel,"AIR CONDITION, POWER STEERING, POWER WINDOW",2155
Mitsubishi Cb3a 1992 Car,https://riyasewana.com/buy/mitsubishi-cb3a-sale-eheliyagoda-7507745,"Rs. 2,275,000 (Ongoing Lease)",Mitsubishi,Cb3a,1992,-,Manual,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1500
